transaction_id,user_id,user_segment,purchase_datetime,showtime_datetime,day_type,movie,genre,cinema,ticket_type,num_tickets,unit_price,combo_revenue,total_revenue,payment_method,voucher_used,status
TXN000056,U68010,Member,4/25/2026 9:48,4/29/2026 12:48,Weekday,Oppenheimer II,Drama,BHD Pham Hung,Couple,3,"260,000","89,000","869,000",wallet,0,Success
TXN000057,U11237,Regular,2/13/2026 6:49,2/15/2026 2:49,Weekend,Inside Out 3,Animation,BHD Pham Hung,3D,4,"115,000","49,000","509,000",wallet,0,Success
TXN000058,U18679,Regular,2/1/2026 12:30,2/8/2026 3:30,Weekend,Wicked 2,Musical,Galaxy Sala,Standard,2,"85,000",0,"170,000",wallet,0,Failed
TXN000059,U97122,New,3/16/2026 9:33,3/16/2026 18:33,Weekday,Joker 3,Crime,BHD Pham Hung,IMAX,4,"170,000",0,"680,000",vietQR,0,Refunded
TXN000060,U24873,Regular,2/26/2026 5:03,3/1/2026 1:03,Weekend,Avengers: Secret Wars,Action,Galaxy Sala,IMAX,3,"170,000",0,"510,000",wallet,0,Success
TXN000061,U84582,Member,3/25/2026 10:08,3/31/2026 9:08,Weekday,The Conjuring 4,Horror,Galaxy Sala,Couple,5,"270,000",0,"1,350,000",wallet,0,Success
TXN000062,U35257,VIP,3/19/2026 13:49,3/20/2026 16:49,Weekday,Fast X Final,Action,Lotte Landmark,VIP,3,"145,000","49,000","484,000",vietQR,"20,000",Success
TXN000063,U60041,Member,1/7/2026 9:31,1/10/2026 10:31,Weekend,Inside Out 3,Animation,CGV Vincom,Standard,2,"75,000",0,"150,000",wallet,0,Success
TXN000064,U21893,New,3/21/2026 11:57,3/24/2026 5:57,Weekday,Wicked 2,Musical,Lotte Cinema Q7,Standard,2,"85,000","49,000","219,000",wallet,0,Success
TXN000065,U39635,New,1/25/2026 7:08,2/3/2026 18:08,Weekday,Dune: Part Three,Sci-Fi,Lotte Landmark,3D,1,"110,000",0,"110,000",wallet,"10,000",Success
TXN000066,U99808,Regular,5/13/2026 21:59,5/19/2026 12:59,Weekday,The Conjuring 4,Horror,Lotte Landmark,Standard,1,"80,000",0,"80,000",wallet,0,Success
TXN000067,U91892,VIP,1/15/2026 22:15,1/21/2026 6:15,Weekday,Dune: Part Three,Sci-Fi,BHD Star Bitexco,3D,4,"110,000",0,"440,000",bank,0,Success
TXN000068,U22705,VIP,1/30/2026 15:16,1/31/2026 16:16,Weekend,Gladiator III,Action,CGV Aeon Mall,3D,2,"115,000",0,"230,000",wallet,0,Success
TXN000069,U16336,VIP,5/5/2026 9:27,5/7/2026 10:27,Weekday,La La Land 2,Romance,BHD Pham Hung,IMAX,2,"160,000","89,000","409,000",bank,0,Success
TXN000070,U63435,Regular,1/10/2026 1:04,1/10/2026 19:04,Weekend,Wicked 2,Musical,CGV Aeon Mall,Standard,2,"75,000","129,000","279,000",bank,0,Success
TXN000071,U63162,New,3/21/2026 23:16,3/24/2026 16:16,Weekday,Inside Out 3,Animation,CGV Vincom,3D,6,"115,000",0,"690,000",vietQR,"20,000",Success
TXN000072,U74489,Member,3/24/2026 12:51,3/25/2026 5:51,Weekday,Oppenheimer II,Drama,CGV Vincom,Standard,2,"80,000",0,"160,000",wallet,0,Success
TXN000073,U73125,Member,1/14/2026 3:26,1/17/2026 19:26,Weekend,The Conjuring 4,Horror,Lotte Landmark,Couple,1,"265,000","89,000","354,000",wallet,0,Success
TXN000074,U92270,Regular,3/22/2026 10:49,3/22/2026 23:49,Weekend,Fast X Final,Action,Galaxy Sala,Standard,1,"75,000",0,"75,000",bank,0,Success
TXN000075,U24110,Member,5/28/2026 12:26,6/3/2026 16:26,Weekday,La La Land 2,Romance,Lotte Landmark,Standard,2,"75,000",0,"150,000",bank,0,Success
TXN000076,U47793,Regular,1/21/2026 0:52,1/28/2026 21:52,Weekday,Wicked 2,Musical,BHD Pham Hung,Standard,2,"75,000","129,000","279,000",wallet,0,Success
TXN000077,U66148,Member,3/8/2026 19:35,3/11/2026 4:35,Weekday,Nha Ba Nu 2,Comedy,CGV Vincom,Standard,3,"85,000",0,"255,000",wallet,"30,000",Success
TXN000078,U13900,Regular,1/16/2026 8:58,1/24/2026 6:58,Weekend,Gladiator III,Action,Galaxy Sala,3D,4,"110,000","89,000","529,000",wallet,0,Success
TXN000079,U51896,Member,3/25/2026 0:30,3/25/2026 18:30,Weekday,Fast X Final,Action,Lotte Cinema Q7,IMAX,1,"160,000","129,000","289,000",wallet,0,Success
TXN000080,U34867,Regular,3/19/2026 12:52,3/25/2026 0:52,Weekday,Avengers: Secret Wars,Action,CGV Aeon Mall,Couple,2,"265,000",0,"530,000",wallet,0,Failed
TXN000081,U71316,New,2/4/2026 15:28,2/6/2026 18:28,Weekday,Smile 3,Horror,BHD Pham Hung,Standard,2,"75,000",0,"150,000",wallet,"10,000",Success
TXN000082,U51394,Regular,3/3/2026 15:22,3/11/2026 6:22,Weekday,Oppenheimer II,Drama,CGV Vincom,IMAX,4,"165,000",0,"660,000",wallet,"10,000",Success
TXN000083,U72810,Regular,1/9/2026 14:52,1/16/2026 3:52,Weekday,Mai 2,Drama,BHD Star Bitexco,Standard,6,"75,000",0,"450,000",wallet,0,Failed
TXN000084,U21849,Regular,5/10/2026 18:15,5/12/2026 12:15,Weekday,Gladiator III,Action,Lotte Cinema Q7,Standard,2,"85,000","129,000","299,000",vietQR,0,Failed
TXN000085,U26901,Member,3/31/2026 14:43,4/9/2026 6:43,Weekday,Oppenheimer II,Drama,Galaxy Sala,3D,4,"110,000","129,000","569,000",wallet,0,Success
TXN000086,U81649,Member,3/16/2026 9:26,3/21/2026 18:26,Weekend,Fast X Final,Action,BHD Pham Hung,IMAX,2,"165,000",0,"330,000",wallet,0,Success
TXN000087,U97446,Member,1/10/2026 20:09,1/12/2026 2:09,Weekday,Mai 2,Drama,Galaxy Nguyen Du,3D,2,"110,000",0,"220,000",bank,0,Success
TXN000088,U13233,Member,3/25/2026 14:15,3/27/2026 3:15,Weekday,Moana 2,Animation,CGV Vincom,IMAX,2,"170,000",0,"340,000",wallet,0,Success
TXN000089,U69274,Regular,1/18/2026 3:34,1/21/2026 23:34,Weekday,The Conjuring 4,Horror,CGV Vincom,Standard,2,"80,000",0,"160,000",wallet,0,Failed
TXN000090,U68481,Regular,4/6/2026 18:05,4/10/2026 18:05,Weekday,Mai 2,Drama,Galaxy Sala,Standard,1,"75,000",0,"75,000",bank,0,Success
TXN000091,U88748,Regular,4/24/2026 21:51,4/26/2026 22:51,Weekend,Dune: Part Three,Sci-Fi,BHD Pham Hung,3D,2,"115,000","89,000","319,000",wallet,0,Success
TXN000092,U39129,Regular,4/18/2026 4:14,4/21/2026 7:14,Weekday,Fast X Final,Action,BHD Star Bitexco,Standard,1,"75,000",0,"75,000",wallet,0,Success
TXN000093,U77419,New,4/11/2026 5:11,4/13/2026 11:11,Weekday,Wicked 2,Musical,Lotte Cinema Q7,3D,3,"110,000","89,000","419,000",wallet,0,Success
TXN000094,U87259,New,1/21/2026 2:18,1/22/2026 20:18,Weekday,The Conjuring 4,Horror,Lotte Cinema Q7,Standard,4,"80,000",0,"320,000",vietQR,0,Success
TXN000095,U47937,Member,1/28/2026 7:56,2/3/2026 12:56,Weekday,Wicked 2,Musical,Galaxy Nguyen Du,Standard,3,"75,000",0,"225,000",bank,0,Success
TXN000096,U79745,Member,5/21/2026 7:12,5/30/2026 1:12,Weekend,Fast X Final,Action,Galaxy Sala,VIP,6,"140,000",0,"840,000",wallet,0,Success
TXN000097,U44442,New,3/30/2026 10:32,4/6/2026 6:32,Weekday,The Conjuring 4,Horror,Galaxy Nguyen Du,Standard,6,"75,000",0,"450,000",vietQR,"20,000",Success
TXN000098,U67953,New,3/2/2026 8:13,3/5/2026 12:13,Weekday,Dune: Part Three,Sci-Fi,Galaxy Nguyen Du,3D,4,"120,000",0,"480,000",wallet,0,Success
TXN000099,U58176,Member,1/5/2026 12:33,1/8/2026 2:33,Weekday,Fast X Final,Action,BHD Star Bitexco,Standard,3,"75,000",0,"225,000",wallet,0,Success
TXN000100,U37396,Regular,2/24/2026 19:57,3/4/2026 0:57,Weekday,Inside Out 3,Animation,Lotte Landmark,3D,3,"120,000","49,000","409,000",wallet,0,Success
TXN000101,U62835,Regular,4/2/2026 1:18,4/2/2026 18:18,Weekday,La La Land 2,Romance,BHD Pham Hung,Standard,1,"85,000","129,000","214,000",wallet,0,Success
TXN000102,U72236,Regular,1/6/2026 1:59,1/13/2026 17:59,Weekday,Inside Out 3,Animation,Galaxy Sala,Standard,2,"75,000",0,"150,000",wallet,"50,000",Success
TXN000103,U25183,VIP,4/26/2026 19:30,5/4/2026 14:30,Weekday,Fast X Final,Action,BHD Star Bitexco,Standard,2,"80,000","89,000","249,000",bank,0,Success
TXN000104,U48355,Regular,1/4/2026 21:34,1/8/2026 0:34,Weekday,Wicked 2,Musical,BHD Pham Hung,VIP,4,"145,000","129,000","709,000",wallet,0,Success
TXN000105,U31559,Member,5/4/2026 0:38,5/14/2026 0:38,Weekday,Fast X Final,Action,CGV Vincom,VIP,3,"140,000","89,000","509,000",vietQR,0,Success
TXN000106,U27891,Regular,3/2/2026 12:15,3/5/2026 21:15,Weekday,Mai 2,Drama,Lotte Cinema Q7,IMAX,3,"160,000","129,000","609,000",bank,0,Success
TXN000107,U14444,VIP,4/4/2026 21:09,4/14/2026 21:09,Weekday,Avengers: Secret Wars,Action,BHD Star Bitexco,Standard,6,"75,000",0,"450,000",wallet,0,Success
TXN000108,U10472,Member,5/6/2026 10:51,5/8/2026 0:51,Weekday,Avengers: Secret Wars,Action,BHD Star Bitexco,3D,2,"110,000","129,000","349,000",wallet,0,Success
TXN000109,U73287,Member,5/20/2026 3:54,5/23/2026 23:54,Weekend,Joker 3,Crime,CGV Vincom,VIP,2,"140,000","89,000","369,000",wallet,0,Success
TXN000110,U73101,New,3/15/2026 22:41,3/20/2026 10:41,Weekday,Fast X Final,Action,BHD Pham Hung,Standard,2,"85,000",0,"170,000",vietQR,0,Success
TXN000111,U84680,Regular,5/13/2026 13:37,5/20/2026 17:37,Weekday,Wicked 2,Musical,Galaxy Sala,VIP,2,"140,000",0,"280,000",vietQR,0,Success
TXN000112,U67081,Regular,2/15/2026 1:32,2/15/2026 22:32,Weekend,Nha Ba Nu 2,Comedy,BHD Pham Hung,3D,1,"110,000",0,"110,000",bank,0,Success
TXN000113,U44268,New,4/6/2026 7:40,4/11/2026 18:40,Weekend,Dune: Part Three,Sci-Fi,BHD Star Bitexco,Standard,1,"85,000","49,000","134,000",bank,"10,000",Success
TXN000114,U71604,Regular,3/26/2026 1:08,4/4/2026 10:08,Weekend,Fast X Final,Action,Lotte Cinema Q7,IMAX,2,"160,000",0,"320,000",wallet,0,Success
TXN000115,U25471,Member,3/14/2026 7:22,3/21/2026 2:22,Weekend,The Conjuring 4,Horror,BHD Pham Hung,VIP,2,"145,000",0,"290,000",bank,0,Success
TXN000116,U70070,Regular,3/24/2026 4:53,4/2/2026 8:53,Weekday,Smile 3,Horror,Galaxy Nguyen Du,VIP,3,"140,000","189,000","609,000",wallet,"20,000",Success
TXN000117,U75596,Member,1/6/2026 21:54,1/11/2026 9:54,Weekend,Moana 2,Animation,Lotte Cinema Q7,Standard,2,"80,000",0,"160,000",bank,"30,000",Success
TXN000118,U88846,Regular,1/26/2026 16:50,1/27/2026 14:50,Weekday,Inside Out 3,Animation,CGV Vincom,Standard,2,"75,000","89,000","239,000",vietQR,0,Success
TXN000119,U76856,Regular,4/6/2026 10:06,4/16/2026 2:06,Weekday,Dune: Part Three,Sci-Fi,Galaxy Nguyen Du,Standard,2,"85,000","89,000","259,000",vietQR,0,Success
TXN000120,U21234,Regular,1/30/2026 5:08,2/8/2026 19:08,Weekend,Joker 3,Crime,Lotte Cinema Q7,Standard,2,"75,000","49,000","199,000",vietQR,0,Success
TXN000121,U87291,Member,1/8/2026 18:54,1/10/2026 14:54,Weekend,Nha Ba Nu 2,Comedy,Lotte Landmark,Standard,4,"85,000","89,000","429,000",bank,0,Success
TXN000122,U94687,Regular,3/29/2026 1:06,3/30/2026 22:06,Weekday,Inside Out 3,Animation,BHD Pham Hung,Standard,1,"80,000",0,"80,000",wallet,0,Success
TXN000123,U58311,Member,4/25/2026 1:12,5/1/2026 6:12,Weekday,Inside Out 3,Animation,Lotte Cinema Q7,Standard,2,"75,000","129,000","279,000",vietQR,0,Success
TXN000124,U19677,Member,3/17/2026 1:36,3/23/2026 15:36,Weekday,Avengers: Secret Wars,Action,Galaxy Nguyen Du,3D,2,"110,000","189,000","409,000",bank,0,Refunded
TXN000125,U86686,Member,1/23/2026 19:06,2/1/2026 1:06,Weekend,Mai 2,Drama,Galaxy Nguyen Du,Couple,5,"260,000",0,"1,300,000",vietQR,0,Success
TXN000126,U57349,VIP,5/26/2026 3:03,5/31/2026 18:03,Weekend,Fast X Final,Action,BHD Pham Hung,Standard,1,"75,000","49,000","124,000",vietQR,"10,000",Success
TXN000127,U12463,New,2/23/2026 12:43,2/28/2026 13:43,Weekend,Gladiator III,Action,Galaxy Sala,IMAX,1,"170,000","89,000","259,000",bank,0,Failed
TXN000128,U49623,New,4/14/2026 10:05,4/17/2026 23:05,Weekday,Nha Ba Nu 2,Comedy,Galaxy Nguyen Du,3D,5,"110,000",0,"550,000",wallet,"10,000",Success
TXN000129,U33903,New,2/7/2026 17:19,2/10/2026 20:19,Weekday,Wicked 2,Musical,Galaxy Nguyen Du,IMAX,2,"160,000",0,"320,000",wallet,"10,000",Success
TXN000130,U53724,Regular,2/5/2026 21:27,2/11/2026 23:27,Weekday,Smile 3,Horror,Lotte Landmark,Standard,1,"75,000","49,000","124,000",wallet,0,Success
TXN000131,U41185,New,4/1/2026 16:30,4/2/2026 2:30,Weekday,Deadpool 4,Action,Galaxy Sala,Standard,1,"75,000",0,"75,000",wallet,0,Success
TXN000132,U93634,New,5/23/2026 18:36,5/24/2026 21:36,Weekend,Smile 3,Horror,CGV Vincom,VIP,1,"140,000","89,000","229,000",wallet,0,Success
TXN000133,U13802,Member,1/21/2026 17:31,1/27/2026 6:31,Weekday,Moana 2,Animation,BHD Star Bitexco,Standard,1,"75,000",0,"75,000",bank,0,Success
TXN000134,U74204,Regular,1/21/2026 4:53,1/30/2026 3:53,Weekday,La La Land 2,Romance,BHD Star Bitexco,Couple,4,"260,000","49,000","1,089,000",bank,0,Success
TXN000135,U39584,Regular,4/26/2026 9:54,4/26/2026 13:54,Weekend,La La Land 2,Romance,Galaxy Sala,Standard,4,"85,000",0,"340,000",bank,0,Success
TXN000136,U80544,Member,3/1/2026 6:22,3/5/2026 23:22,Weekday,Joker 3,Crime,Galaxy Sala,Standard,2,"85,000","49,000","219,000",vietQR,0,Success
TXN000137,U45181,New,1/23/2026 7:04,1/24/2026 1:04,Weekend,Mai 2,Drama,Galaxy Nguyen Du,3D,3,"110,000",0,"330,000",bank,0,Success
TXN000138,U39611,New,2/21/2026 22:48,2/27/2026 12:48,Weekday,Joker 3,Crime,Galaxy Sala,Standard,5,"75,000","49,000","424,000",wallet,"30,000",Success
TXN000139,U45641,VIP,2/28/2026 19:19,3/4/2026 13:19,Weekday,Deadpool 4,Action,CGV Aeon Mall,IMAX,4,"160,000","89,000","729,000",wallet,0,Success
TXN000140,U29588,VIP,3/29/2026 17:50,4/5/2026 15:50,Weekend,Nha Ba Nu 2,Comedy,Lotte Cinema Q7,Couple,3,"265,000",0,"795,000",wallet,0,Success
TXN000141,U73068,Member,1/25/2026 5:28,2/3/2026 11:28,Weekday,Smile 3,Horror,BHD Star Bitexco,Couple,5,"270,000","189,000","1,539,000",wallet,0,Success
TXN000142,U17471,Regular,4/5/2026 5:14,4/12/2026 11:14,Weekend,Wicked 2,Musical,Lotte Landmark,3D,4,"120,000",0,"480,000",bank,0,Success
TXN000143,U86215,VIP,4/12/2026 17:42,4/14/2026 4:42,Weekday,Moana 2,Animation,Galaxy Sala,VIP,6,"150,000","89,000","989,000",wallet,0,Success
TXN000144,U84529,Member,2/15/2026 8:27,2/17/2026 10:27,Weekday,Inside Out 3,Animation,CGV Vincom,IMAX,2,"160,000","189,000","509,000",bank,0,Success
TXN000145,U19736,Regular,5/11/2026 13:58,5/11/2026 17:58,Weekday,Mai 2,Drama,Galaxy Sala,Standard,5,"85,000","49,000","474,000",vietQR,0,Success
TXN000146,U91241,Regular,4/9/2026 16:02,4/12/2026 6:02,Weekend,Wicked 2,Musical,Lotte Cinema Q7,Standard,4,"75,000","89,000","389,000",wallet,0,Success
TXN000147,U19168,Member,1/21/2026 1:59,1/26/2026 9:59,Weekday,The Conjuring 4,Horror,Lotte Landmark,Standard,2,"75,000",0,"150,000",wallet,0,Success
TXN000148,U26390,Regular,3/30/2026 12:57,4/1/2026 13:57,Weekday,Inside Out 3,Animation,Galaxy Sala,Standard,4,"75,000",0,"300,000",bank,0,Success
TXN000149,U83356,Regular,5/15/2026 14:12,5/21/2026 14:12,Weekday,Deadpool 4,Action,BHD Star Bitexco,Couple,1,"260,000","49,000","309,000",vietQR,0,Success
TXN000150,U75463,New,5/12/2026 13:49,5/17/2026 10:49,Weekend,Moana 2,Animation,CGV Vincom,Standard,4,"85,000",0,"340,000",vietQR,0,Success
TXN000151,U75878,Regular,3/6/2026 4:36,3/11/2026 17:36,Weekday,The Conjuring 4,Horror,BHD Pham Hung,VIP,5,"150,000",0,"750,000",wallet,"10,000",Failed
TXN000152,U15038,Regular,5/23/2026 4:34,5/31/2026 3:34,Weekend,Moana 2,Animation,BHD Star Bitexco,Standard,2,"75,000",0,"150,000",vietQR,0,Success
