session_tracking_id,user_id,event_id,screen_name,event_name,event_type,tracking_time,event_sequence,platform,app_version,device_model,network,user_segment,duration_ms
SES000002,U11014,1023.012,Chọn Ghế,load màn hình chọn ghế,view,2026-05-27 18:46:54,10,iOS,4.0.0,iPhone 12,4G,Regular,"43,585"
SES000002,U11014,1023.013,Chọn Ghế,chọn ghế,click,2026-05-27 18:47:41,11,iOS,4.0.0,iPhone 12,4G,Regular,"32,100"
SES000002,U11014,1023.014,Chọn Ghế,bấm tiếp tục màn hình chọn ghế,click,2026-05-27 18:48:50,12,iOS,4.0.0,iPhone 12,4G,Regular,"10,830"
SES000002,U11014,1024.015,Chọn Bắp Nước,load màn hình chọn bắp nước,view,2026-05-27 18:50:02,13,iOS,4.0.0,iPhone 12,4G,Regular,"22,102"
SES000002,U11014,1024.013,Chọn Bắp Nước,chọn bắp nước,click,2026-05-27 18:50:54,14,iOS,4.0.0,iPhone 12,4G,Regular,"19,649"
SES000002,U11014,1024.014,Chọn Bắp Nước,bấm tiếp tục màn hình chọn bắp nước,click,2026-05-27 18:52:20,15,iOS,4.0.0,iPhone 12,4G,Regular,"2,193"
SES000002,U11014,1025.015,Confirm,load màn hình confirm,view,2026-05-27 18:52:25,16,iOS,4.0.0,iPhone 12,4G,Regular,"3,771"
SES000002,U11014,1025.016,Confirm,bấm xác nhận tại màn hình confirm,click,2026-05-27 18:52:36,17,iOS,4.0.0,iPhone 12,4G,Regular,"18,950"
SES000002,U11014,1026.017,Thanh Toán,load màn hình thanh toán,view,2026-05-27 18:53:22,18,iOS,4.0.0,iPhone 12,4G,Regular,"36,641"
SES000002,U11014,1026.018,Thanh Toán,bấm xác nhận trên màn hình thanh toán,submit,2026-05-27 18:53:51,19,iOS,4.0.0,iPhone 12,4G,Regular,"41,927"
SES000003,U59698,1020.000,Movie Home,load màn hình Movie home,view,2026-05-07 01:48:59,1,Android,4.0.0,Vivo V27,4G,VIP,"8,218"
SES000004,U93705,1020.000,Movie Home,load màn hình Movie home,view,2026-05-21 15:59:55,1,Android,4.1.3,Samsung S23,Wifi,Member,"15,181"
SES000004,U93705,1020.004,Movie Home,Click xem tất cả phim,click,2026-05-21 16:00:30,2,Android,4.1.3,Samsung S23,Wifi,Member,906
SES000004,U93705,1020.005,Movie Home,click đặt vé phim trên Movie home,click,2026-05-21 16:01:33,3,Android,4.1.3,Samsung S23,Wifi,Member,"18,905"
SES000004,U93705,1022.008,Chọn Suất Chiếu,Load màn hình chọn suất chiếu,view,2026-05-21 16:02:31,4,Android,4.1.3,Samsung S23,Wifi,Member,"9,910"
SES000004,U93705,1022.009,Chọn Suất Chiếu,Chọn rạp phim trên màn hình suất chiếu,click,2026-05-21 16:03:08,5,Android,4.1.3,Samsung S23,Wifi,Member,"23,399"
SES000004,U93705,1022.010,Chọn Suất Chiếu,chọn ngày trên màn hình suất chiếu,click,2026-05-21 16:03:54,6,Android,4.1.3,Samsung S23,Wifi,Member,"3,245"
SES000005,U24757,1020.000,Movie Home,load màn hình Movie home,view,2026-05-21 02:23:13,1,Android,3.8.1,Vivo V27,5G,Member,"16,969"
SES000005,U24757,1020.001,Movie Home,click chọn phim,click,2026-05-21 02:24:03,2,Android,3.8.1,Vivo V27,5G,Member,"41,429"
SES000005,U24757,1020.002,Movie Home,click xem chi tiết phim,click,2026-05-21 02:24:49,3,Android,3.8.1,Vivo V27,5G,Member,"1,171"
SES000005,U24757,1021.007,Phim Detail,load màn hình phim detail,view,2026-05-21 02:24:57,4,Android,3.8.1,Vivo V27,5G,Member,"40,037"
SES000005,U24757,1021.006,Phim Detail,click đặt vé phim trên phim detail,click,2026-05-21 02:26:18,5,Android,3.8.1,Vivo V27,5G,Member,"10,311"
SES000005,U24757,1022.008,Chọn Suất Chiếu,Load màn hình chọn suất chiếu,view,2026-05-21 02:26:27,6,Android,3.8.1,Vivo V27,5G,Member,"14,719"
SES000005,U24757,1022.009,Chọn Suất Chiếu,Chọn rạp phim trên màn hình suất chiếu,click,2026-05-21 02:27:37,7,Android,3.8.1,Vivo V27,5G,Member,"42,508"
SES000005,U24757,1022.010,Chọn Suất Chiếu,chọn ngày trên màn hình suất chiếu,click,2026-05-21 02:28:46,8,Android,3.8.1,Vivo V27,5G,Member,"14,220"
SES000005,U24757,1022.011,Chọn Suất Chiếu,chọn suất chiếu trên màn hình suất chiếu,click,2026-05-21 02:30:08,9,Android,3.8.1,Vivo V27,5G,Member,"27,562"
SES000005,U24757,1023.012,Chọn Ghế,load màn hình chọn ghế,view,2026-05-21 02:31:00,10,Android,3.8.1,Vivo V27,5G,Member,"11,861"
SES000005,U24757,1023.013,Chọn Ghế,chọn ghế,click,2026-05-21 02:32:30,11,Android,3.8.1,Vivo V27,5G,Member,"14,349"
SES000005,U24757,1023.014,Chọn Ghế,bấm tiếp tục màn hình chọn ghế,click,2026-05-21 02:32:43,12,Android,3.8.1,Vivo V27,5G,Member,"34,351"
SES000005,U24757,1024.015,Chọn Bắp Nước,load màn hình chọn bắp nước,view,2026-05-21 02:33:31,13,Android,3.8.1,Vivo V27,5G,Member,"16,760"
SES000005,U24757,1024.014,Chọn Bắp Nước,bấm tiếp tục màn hình chọn bắp nước,click,2026-05-21 02:34:03,14,Android,3.8.1,Vivo V27,5G,Member,"33,849"
SES000005,U24757,1025.015,Confirm,load màn hình confirm,view,2026-05-21 02:35:33,15,Android,3.8.1,Vivo V27,5G,Member,"19,129"
SES000005,U24757,1025.016,Confirm,bấm xác nhận tại màn hình confirm,click,2026-05-21 02:37:02,16,Android,3.8.1,Vivo V27,5G,Member,"41,543"
SES000005,U24757,1026.017,Thanh Toán,load màn hình thanh toán,view,2026-05-21 02:37:05,17,Android,3.8.1,Vivo V27,5G,Member,"9,507"
SES000005,U24757,1026.018,Thanh Toán,bấm xác nhận trên màn hình thanh toán,submit,2026-05-21 02:38:29,18,Android,3.8.1,Vivo V27,5G,Member,"20,860"
SES000006,U99381,1020.000,Movie Home,load màn hình Movie home,view,2026-05-04 02:51:46,1,iOS,4.0.0,iPhone 15,Wifi,Regular,"33,515"
SES000006,U99381,1020.001,Movie Home,click chọn phim,click,2026-05-04 02:53:07,2,iOS,4.0.0,iPhone 15,Wifi,Regular,"3,311"
SES000006,U99381,1020.002,Movie Home,click xem chi tiết phim,click,2026-05-04 02:53:14,3,iOS,4.0.0,iPhone 15,Wifi,Regular,"17,228"
SES000006,U99381,1021.007,Phim Detail,load màn hình phim detail,view,2026-05-04 02:53:16,4,iOS,4.0.0,iPhone 15,Wifi,Regular,"6,262"
SES000006,U99381,1021.006,Phim Detail,click đặt vé phim trên phim detail,click,2026-05-04 02:54:32,5,iOS,4.0.0,iPhone 15,Wifi,Regular,"24,278"
SES000006,U99381,1022.008,Chọn Suất Chiếu,Load màn hình chọn suất chiếu,view,2026-05-04 02:55:28,6,iOS,4.0.0,iPhone 15,Wifi,Regular,"16,452"
SES000006,U99381,1022.009,Chọn Suất Chiếu,Chọn rạp phim trên màn hình suất chiếu,click,2026-05-04 02:56:34,7,iOS,4.0.0,iPhone 15,Wifi,Regular,"1,594"
SES000006,U99381,1022.010,Chọn Suất Chiếu,chọn ngày trên màn hình suất chiếu,click,2026-05-04 02:57:36,8,iOS,4.0.0,iPhone 15,Wifi,Regular,"20,288"
SES000006,U99381,1022.011,Chọn Suất Chiếu,chọn suất chiếu trên màn hình suất chiếu,click,2026-05-04 02:58:27,9,iOS,4.0.0,iPhone 15,Wifi,Regular,"3,673"
SES000006,U99381,1023.012,Chọn Ghế,load màn hình chọn ghế,view,2026-05-04 02:58:43,10,iOS,4.0.0,iPhone 15,Wifi,Regular,"16,574"
SES000006,U99381,1023.013,Chọn Ghế,chọn ghế,click,2026-05-04 02:59:59,11,iOS,4.0.0,iPhone 15,Wifi,Regular,"30,410"
SES000006,U99381,1023.014,Chọn Ghế,bấm tiếp tục màn hình chọn ghế,click,2026-05-04 03:00:58,12,iOS,4.0.0,iPhone 15,Wifi,Regular,"25,504"
SES000006,U99381,1024.015,Chọn Bắp Nước,load màn hình chọn bắp nước,view,2026-05-04 03:01:57,13,iOS,4.0.0,iPhone 15,Wifi,Regular,"35,247"
SES000006,U99381,1024.013,Chọn Bắp Nước,chọn bắp nước,click,2026-05-04 03:02:47,14,iOS,4.0.0,iPhone 15,Wifi,Regular,"31,182"
SES000006,U99381,1024.014,Chọn Bắp Nước,bấm tiếp tục màn hình chọn bắp nước,click,2026-05-04 03:03:30,15,iOS,4.0.0,iPhone 15,Wifi,Regular,"32,433"
SES000006,U99381,1025.015,Confirm,load màn hình confirm,view,2026-05-04 03:03:34,16,iOS,4.0.0,iPhone 15,Wifi,Regular,"21,060"
SES000007,U34502,1020.000,Movie Home,load màn hình Movie home,view,2026-05-25 08:56:10,1,iOS,4.0.0,iPhone 12,Wifi,Regular,"25,731"
SES000007,U34502,1020.001,Movie Home,click chọn phim,click,2026-05-25 08:56:29,2,iOS,4.0.0,iPhone 12,Wifi,Regular,"34,470"
SES000007,U34502,1020.002,Movie Home,click xem chi tiết phim,click,2026-05-25 08:57:00,3,iOS,4.0.0,iPhone 12,Wifi,Regular,"2,145"
SES000007,U34502,1021.007,Phim Detail,load màn hình phim detail,view,2026-05-25 08:57:02,4,iOS,4.0.0,iPhone 12,Wifi,Regular,"4,308"
SES000007,U34502,1021.006,Phim Detail,click đặt vé phim trên phim detail,click,2026-05-25 08:57:08,5,iOS,4.0.0,iPhone 12,Wifi,Regular,"13,378"
SES000007,U34502,1022.008,Chọn Suất Chiếu,Load màn hình chọn suất chiếu,view,2026-05-25 08:57:35,6,iOS,4.0.0,iPhone 12,Wifi,Regular,"19,126"
SES000007,U34502,1022.009,Chọn Suất Chiếu,Chọn rạp phim trên màn hình suất chiếu,click,2026-05-25 08:58:18,7,iOS,4.0.0,iPhone 12,Wifi,Regular,"33,235"
SES000007,U34502,1022.010,Chọn Suất Chiếu,chọn ngày trên màn hình suất chiếu,click,2026-05-25 08:58:31,8,iOS,4.0.0,iPhone 12,Wifi,Regular,"5,048"
SES000007,U34502,1022.011,Chọn Suất Chiếu,chọn suất chiếu trên màn hình suất chiếu,click,2026-05-25 08:59:26,9,iOS,4.0.0,iPhone 12,Wifi,Regular,"19,752"
SES000007,U34502,1023.012,Chọn Ghế,load màn hình chọn ghế,view,2026-05-25 09:00:42,10,iOS,4.0.0,iPhone 12,Wifi,Regular,"9,177"
SES000007,U34502,1023.013,Chọn Ghế,chọn ghế,click,2026-05-25 09:01:33,11,iOS,4.0.0,iPhone 12,Wifi,Regular,"25,524"
SES000007,U34502,1023.014,Chọn Ghế,bấm tiếp tục màn hình chọn ghế,click,2026-05-25 09:02:14,12,iOS,4.0.0,iPhone 12,Wifi,Regular,"13,375"
SES000007,U34502,1024.015,Chọn Bắp Nước,load màn hình chọn bắp nước,view,2026-05-25 09:02:53,13,iOS,4.0.0,iPhone 12,Wifi,Regular,604
SES000007,U34502,1024.013,Chọn Bắp Nước,chọn bắp nước,click,2026-05-25 09:03:20,14,iOS,4.0.0,iPhone 12,Wifi,Regular,"38,605"
SES000007,U34502,1024.014,Chọn Bắp Nước,bấm tiếp tục màn hình chọn bắp nước,click,2026-05-25 09:04:19,15,iOS,4.0.0,iPhone 12,Wifi,Regular,"4,897"
SES000007,U34502,1025.015,Confirm,load màn hình confirm,view,2026-05-25 09:04:54,16,iOS,4.0.0,iPhone 12,Wifi,Regular,"43,170"
SES000008,U91103,1020.000,Movie Home,load màn hình Movie home,view,2026-05-22 17:59:58,1,iOS,4.0.0,iPhone 13,Wifi,Regular,"19,790"
SES000009,U16913,1020.000,Movie Home,load màn hình Movie home,view,2026-05-27 14:04:28,1,iOS,3.8.1,iPhone 13,Wifi,Member,"5,883"
SES000009,U16913,1020.001,Movie Home,click chọn phim,click,2026-05-27 14:05:46,2,iOS,3.8.1,iPhone 13,Wifi,Member,"7,571"
SES000009,U16913,1020.002,Movie Home,click xem chi tiết phim,click,2026-05-27 14:07:05,3,iOS,3.8.1,iPhone 13,Wifi,Member,"32,279"
SES000009,U16913,1021.007,Phim Detail,load màn hình phim detail,view,2026-05-27 14:08:33,4,iOS,3.8.1,iPhone 13,Wifi,Member,"9,522"
SES000009,U16913,1021.003,Phim Detail,Click xem trailer,click,2026-05-27 14:09:00,5,iOS,3.8.1,iPhone 13,Wifi,Member,978
SES000009,U16913,1021.006,Phim Detail,click đặt vé phim trên phim detail,click,2026-05-27 14:09:26,6,iOS,3.8.1,iPhone 13,Wifi,Member,"5,937"
SES000010,U87738,1020.000,Movie Home,load màn hình Movie home,view,2026-05-26 13:36:51,1,Android,3.9.0,Vivo V27,Wifi,New,"1,826"
SES000010,U87738,1020.001,Movie Home,click chọn phim,click,2026-05-26 13:38:08,2,Android,3.9.0,Vivo V27,Wifi,New,"10,063"
SES000010,U87738,1020.002,Movie Home,click xem chi tiết phim,click,2026-05-26 13:39:30,3,Android,3.9.0,Vivo V27,Wifi,New,"20,171"
SES000010,U87738,1021.007,Phim Detail,load màn hình phim detail,view,2026-05-26 13:39:37,4,Android,3.9.0,Vivo V27,Wifi,New,"4,973"
SES000010,U87738,1021.003,Phim Detail,Click xem trailer,click,2026-05-26 13:40:16,5,Android,3.9.0,Vivo V27,Wifi,New,"6,364"
SES000010,U87738,1021.006,Phim Detail,click đặt vé phim trên phim detail,click,2026-05-26 13:40:17,6,Android,3.9.0,Vivo V27,Wifi,New,"39,302"
SES000010,U87738,1022.008,Chọn Suất Chiếu,Load màn hình chọn suất chiếu,view,2026-05-26 13:41:28,7,Android,3.9.0,Vivo V27,Wifi,New,"1,417"
SES000010,U87738,1022.009,Chọn Suất Chiếu,Chọn rạp phim trên màn hình suất chiếu,click,2026-05-26 13:42:50,8,Android,3.9.0,Vivo V27,Wifi,New,"5,655"
SES000010,U87738,1022.010,Chọn Suất Chiếu,chọn ngày trên màn hình suất chiếu,click,2026-05-26 13:43:20,9,Android,3.9.0,Vivo V27,Wifi,New,"31,855"
SES000010,U87738,1022.011,Chọn Suất Chiếu,chọn suất chiếu trên màn hình suất chiếu,click,2026-05-26 13:44:35,10,Android,3.9.0,Vivo V27,Wifi,New,"18,982"
SES000010,U87738,1023.012,Chọn Ghế,load màn hình chọn ghế,view,2026-05-26 13:45:29,11,Android,3.9.0,Vivo V27,Wifi,New,"9,327"
SES000010,U87738,1023.013,Chọn Ghế,chọn ghế,click,2026-05-26 13:46:43,12,Android,3.9.0,Vivo V27,Wifi,New,"43,401"
SES000010,U87738,1023.014,Chọn Ghế,bấm tiếp tục màn hình chọn ghế,click,2026-05-26 13:48:13,13,Android,3.9.0,Vivo V27,Wifi,New,"43,485"
SES000010,U87738,1024.015,Chọn Bắp Nước,load màn hình chọn bắp nước,view,2026-05-26 13:48:22,14,Android,3.9.0,Vivo V27,Wifi,New,"17,333"
SES000010,U87738,1024.014,Chọn Bắp Nước,bấm tiếp tục màn hình chọn bắp nước,click,2026-05-26 13:49:16,15,Android,3.9.0,Vivo V27,Wifi,New,"44,171"
SES000010,U87738,1025.015,Confirm,load màn hình confirm,view,2026-05-26 13:49:39,16,Android,3.9.0,Vivo V27,Wifi,New,"15,777"
SES000010,U87738,1025.016,Confirm,bấm xác nhận tại màn hình confirm,click,2026-05-26 13:50:47,17,Android,3.9.0,Vivo V27,Wifi,New,"23,141"
SES000010,U87738,1026.017,Thanh Toán,load màn hình thanh toán,view,2026-05-26 13:51:40,18,Android,3.9.0,Vivo V27,Wifi,New,416
SES000010,U87738,1026.018,Thanh Toán,bấm xác nhận trên màn hình thanh toán,submit,2026-05-26 13:52:25,19,Android,3.9.0,Vivo V27,Wifi,New,"35,629"
SES000011,U75654,1020.000,Movie Home,load màn hình Movie home,view,2026-05-13 00:09:07,1,Android,3.8.1,Vivo V27,4G,Regular,"43,420"
SES000011,U75654,1020.004,Movie Home,Click xem tất cả phim,click,2026-05-13 00:10:13,2,Android,3.8.1,Vivo V27,4G,Regular,"34,780"
SES000011,U75654,1020.002,Movie Home,click xem chi tiết phim,click,2026-05-13 00:11:09,3,Android,3.8.1,Vivo V27,4G,Regular,"17,085"
SES000011,U75654,1021.007,Phim Detail,load màn hình phim detail,view,2026-05-13 00:11:25,4,Android,3.8.1,Vivo V27,4G,Regular,506
SES000011,U75654,1021.003,Phim Detail,Click xem trailer,click,2026-05-13 00:12:26,5,Android,3.8.1,Vivo V27,4G,Regular,"28,470"
SES000011,U75654,1021.006,Phim Detail,click đặt vé phim trên phim detail,click,2026-05-13 00:13:42,6,Android,3.8.1,Vivo V27,4G,Regular,"41,341"
SES000012,U54722,1020.000,Movie Home,load màn hình Movie home,view,2026-05-13 03:16:56,1,iOS,3.9.0,iPhone 13,Wifi,Member,"25,629"
SES000012,U54722,1020.001,Movie Home,click chọn phim,click,2026-05-13 03:17:22,2,iOS,3.9.0,iPhone 13,Wifi,Member,"27,199"
SES000012,U54722,1020.002,Movie Home,click xem chi tiết phim,click,2026-05-13 03:17:42,3,iOS,3.9.0,iPhone 13,Wifi,Member,"44,755"
SES000012,U54722,1021.007,Phim Detail,load màn hình phim detail,view,2026-05-13 03:18:49,4,iOS,3.9.0,iPhone 13,Wifi,Member,"7,836"
SES000012,U54722,1021.006,Phim Detail,click đặt vé phim trên phim detail,click,2026-05-13 03:20:18,5,iOS,3.9.0,iPhone 13,Wifi,Member,"12,091"
SES000012,U54722,1022.008,Chọn Suất Chiếu,Load màn hình chọn suất chiếu,view,2026-05-13 03:21:47,6,iOS,3.9.0,iPhone 13,Wifi,Member,"8,805"
SES000012,U54722,1022.009,Chọn Suất Chiếu,Chọn rạp phim trên màn hình suất chiếu,click,2026-05-13 03:21:52,7,iOS,3.9.0,iPhone 13,Wifi,Member,"27,881"
SES000012,U54722,1022.010,Chọn Suất Chiếu,chọn ngày trên màn hình suất chiếu,click,2026-05-13 03:22:40,8,iOS,3.9.0,iPhone 13,Wifi,Member,"42,590"
SES000013,U86484,1020.000,Movie Home,load màn hình Movie home,view,2026-05-22 05:22:00,1,Android,3.8.1,Samsung S23,5G,Member,"4,250"
SES000013,U86484,1020.001,Movie Home,click chọn phim,click,2026-05-22 05:22:31,2,Android,3.8.1,Samsung S23,5G,Member,"29,727"
SES000013,U86484,1020.002,Movie Home,click xem chi tiết phim,click,2026-05-22 05:23:40,3,Android,3.8.1,Samsung S23,5G,Member,"21,380"
SES000013,U86484,1021.007,Phim Detail,load màn hình phim detail,view,2026-05-22 05:25:00,4,Android,3.8.1,Samsung S23,5G,Member,"16,526"
SES000014,U24408,1020.000,Movie Home,load màn hình Movie home,view,2026-05-11 16:46:00,1,iOS,4.0.0,iPhone 15,Wifi,Regular,"27,296"
SES000014,U24408,1020.001,Movie Home,click chọn phim,click,2026-05-11 16:46:34,2,iOS,4.0.0,iPhone 15,Wifi,Regular,"37,222"
SES000014,U24408,1020.005,Movie Home,click đặt vé phim trên Movie home,click,2026-05-11 16:47:02,3,iOS,4.0.0,iPhone 15,Wifi,Regular,"9,001"
SES000014,U24408,1022.008,Chọn Suất Chiếu,Load màn hình chọn suất chiếu,view,2026-05-11 16:47:04,4,iOS,4.0.0,iPhone 15,Wifi,Regular,"39,186"
SES000014,U24408,1022.009,Chọn Suất Chiếu,Chọn rạp phim trên màn hình suất chiếu,click,2026-05-11 16:47:08,5,iOS,4.0.0,iPhone 15,Wifi,Regular,"35,655"
SES000014,U24408,1022.010,Chọn Suất Chiếu,chọn ngày trên màn hình suất chiếu,click,2026-05-11 16:48:06,6,iOS,4.0.0,iPhone 15,Wifi,Regular,"41,661"
SES000014,U24408,1022.011,Chọn Suất Chiếu,chọn suất chiếu trên màn hình suất chiếu,click,2026-05-11 16:49:20,7,iOS,4.0.0,iPhone 15,Wifi,Regular,"19,305"
SES000014,U24408,1023.012,Chọn Ghế,load màn hình chọn ghế,view,2026-05-11 16:49:24,8,iOS,4.0.0,iPhone 15,Wifi,Regular,"22,253"
SES000014,U24408,1023.013,Chọn Ghế,chọn ghế,click,2026-05-11 16:49:44,9,iOS,4.0.0,iPhone 15,Wifi,Regular,"14,760"
SES000014,U24408,1023.014,Chọn Ghế,bấm tiếp tục màn hình chọn ghế,click,2026-05-11 16:50:48,10,iOS,4.0.0,iPhone 15,Wifi,Regular,"33,476"
SES000014,U24408,1024.015,Chọn Bắp Nước,load màn hình chọn bắp nước,view,2026-05-11 16:52:16,11,iOS,4.0.0,iPhone 15,Wifi,Regular,"8,378"
SES000014,U24408,1024.014,Chọn Bắp Nước,bấm tiếp tục màn hình chọn bắp nước,click,2026-05-11 16:53:45,12,iOS,4.0.0,iPhone 15,Wifi,Regular,"19,631"
SES000014,U24408,1025.015,Confirm,load màn hình confirm,view,2026-05-11 16:53:50,13,iOS,4.0.0,iPhone 15,Wifi,Regular,"19,682"
SES000014,U24408,1025.016,Confirm,bấm xác nhận tại màn hình confirm,click,2026-05-11 16:55:12,14,iOS,4.0.0,iPhone 15,Wifi,Regular,"34,653"
SES000014,U24408,1026.017,Thanh Toán,load màn hình thanh toán,view,2026-05-11 16:55:14,15,iOS,4.0.0,iPhone 15,Wifi,Regular,"14,380"
SES000014,U24408,1026.018,Thanh Toán,bấm xác nhận trên màn hình thanh toán,submit,2026-05-11 16:55:29,16,iOS,4.0.0,iPhone 15,Wifi,Regular,"41,029"
SES000015,U83490,1020.000,Movie Home,load màn hình Movie home,view,2026-05-03 12:50:50,1,Android,4.1.3,Samsung A54,Wifi,Regular,"22,414"
SES000016,U48838,1020.000,Movie Home,load màn hình Movie home,view,2026-05-13 20:26:47,1,iOS,4.1.2,iPhone 14,3G,Regular,"32,304"
SES000016,U48838,1020.001,Movie Home,click chọn phim,click,2026-05-13 20:27:34,2,iOS,4.1.2,iPhone 14,3G,Regular,"23,411"
SES000016,U48838,1020.005,Movie Home,click đặt vé phim trên Movie home,click,2026-05-13 20:29:04,3,iOS,4.1.2,iPhone 14,3G,Regular,"28,337"
SES000016,U48838,1022.008,Chọn Suất Chiếu,Load màn hình chọn suất chiếu,view,2026-05-13 20:29:51,4,iOS,4.1.2,iPhone 14,3G,Regular,"29,077"
SES000016,U48838,1022.009,Chọn Suất Chiếu,Chọn rạp phim trên màn hình suất chiếu,click,2026-05-13 20:30:02,5,iOS,4.1.2,iPhone 14,3G,Regular,"27,452"
SES000016,U48838,1022.010,Chọn Suất Chiếu,chọn ngày trên màn hình suất chiếu,click,2026-05-13 20:30:28,6,iOS,4.1.2,iPhone 14,3G,Regular,"35,931"
SES000016,U48838,1022.011,Chọn Suất Chiếu,chọn suất chiếu trên màn hình suất chiếu,click,2026-05-13 20:31:45,7,iOS,4.1.2,iPhone 14,3G,Regular,"10,844"
SES000016,U48838,1023.012,Chọn Ghế,load màn hình chọn ghế,view,2026-05-13 20:32:30,8,iOS,4.1.2,iPhone 14,3G,Regular,"18,608"
SES000016,U48838,1023.013,Chọn Ghế,chọn ghế,click,2026-05-13 20:33:26,9,iOS,4.1.2,iPhone 14,3G,Regular,"24,505"
SES000016,U48838,1023.014,Chọn Ghế,bấm tiếp tục màn hình chọn ghế,click,2026-05-13 20:33:37,10,iOS,4.1.2,iPhone 14,3G,Regular,"19,971"
SES000017,U12600,1020.000,Movie Home,load màn hình Movie home,view,2026-05-13 16:50:54,1,Android,3.9.0,Vivo V27,Wifi,New,"31,723"
SES000017,U12600,1020.001,Movie Home,click chọn phim,click,2026-05-13 16:51:07,2,Android,3.9.0,Vivo V27,Wifi,New,"20,797"
SES000017,U12600,1020.002,Movie Home,click xem chi tiết phim,click,2026-05-13 16:52:03,3,Android,3.9.0,Vivo V27,Wifi,New,"3,758"
SES000017,U12600,1021.007,Phim Detail,load màn hình phim detail,view,2026-05-13 16:52:16,4,Android,3.9.0,Vivo V27,Wifi,New,"10,779"
SES000017,U12600,1021.006,Phim Detail,click đặt vé phim trên phim detail,click,2026-05-13 16:52:17,5,Android,3.9.0,Vivo V27,Wifi,New,"13,045"
SES000017,U12600,1022.008,Chọn Suất Chiếu,Load màn hình chọn suất chiếu,view,2026-05-13 16:53:38,6,Android,3.9.0,Vivo V27,Wifi,New,"2,347"
SES000017,U12600,1022.009,Chọn Suất Chiếu,Chọn rạp phim trên màn hình suất chiếu,click,2026-05-13 16:54:44,7,Android,3.9.0,Vivo V27,Wifi,New,"3,448"
SES000017,U12600,1022.010,Chọn Suất Chiếu,chọn ngày trên màn hình suất chiếu,click,2026-05-13 16:55:22,8,Android,3.9.0,Vivo V27,Wifi,New,"24,622"
SES000017,U12600,1022.011,Chọn Suất Chiếu,chọn suất chiếu trên màn hình suất chiếu,click,2026-05-13 16:55:48,9,Android,3.9.0,Vivo V27,Wifi,New,"26,024"
SES000017,U12600,1023.012,Chọn Ghế,load màn hình chọn ghế,view,2026-05-13 16:55:50,10,Android,3.9.0,Vivo V27,Wifi,New,"33,548"
SES000017,U12600,1023.013,Chọn Ghế,chọn ghế,click,2026-05-13 16:57:16,11,Android,3.9.0,Vivo V27,Wifi,New,"34,190"
SES000017,U12600,1023.014,Chọn Ghế,bấm tiếp tục màn hình chọn ghế,click,2026-05-13 16:57:29,12,Android,3.9.0,Vivo V27,Wifi,New,"7,890"
